Year,Table,Row
1903,4,['1903 American League Team Review\nPitching Statistics League Leaderboard']
1903,4,"['Statistic', 'Team', '#']"
1903,4,"['Complete Games', 'Cleveland', '125']"
1903,4,"['ERA', 'Boston', '2.57']"
1903,4,"['Fewest Hits Allowed', 'Philadelphia', '1,124']"
1903,4,"['Fewest Home Runs Allowed', 'Cleveland', '16']"
1903,4,"['Fewest Walks Allowed', 'St. Louis', '237']"
1903,4,"['Saves', 'Boston', '4']"
1903,4,['Chicago']
1903,4,"['Shutouts', 'Boston', '20']"
1903,4,['Cleveland']
1903,4,"['Strikeouts', 'Philadelphia', '728']"
1903,4,"['Statistic', 'Team', '#']"
1904,0,['1904 American League Player Review\n← 1903 | 1904 Hitting Statistics League Leaders | 1905 →']
1904,0,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1904,0,"['Base on Balls', 'Jimmy Barrett', 'Detroit', '79', 'Top 25']"
1904,0,"['Batting Average', 'Nap Lajoie', 'Cleveland', '.376', 'Top 25']"
1904,0,"['Doubles', 'Nap Lajoie', 'Cleveland', '49', 'Top 25']"
1904,0,"['Hits', 'Nap Lajoie', 'Cleveland', '211', 'Top 25']"
1904,0,"['Home Runs', 'Harry Davis', 'Philadelphia', '10', 'Top 25']"
1904,0,"['On Base Percentage', 'Nap Lajoie', 'Cleveland', '.413', 'Top 25']"
1904,0,"['RBI', 'Nap Lajoie', 'Cleveland', '102', 'Top 25']"
1904,0,"['Runs', 'Patsy Dougherty', 'Boston', '113', 'Top 25']"
1904,0,['New York']
1904,0,"['Slugging Average', 'Nap Lajoie', 'Cleveland', '.552', 'Top 25']"
1904,0,"['Stolen Bases', 'Harry Bay', 'Cleveland', '38', 'Top 25']"
1904,0,['Elmer Flick']
1904,0,"['Total Bases', 'Nap Lajoie', 'Cleveland', '305', 'Top 25']"
1904,0,"['Triples', 'Joe Cassidy', 'Washington', '19', 'Top 25']"
1904,0,"['Buck Freeman', 'Boston']"
1904,0,"['Chick Stahl', 'Boston']"
1904,0,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1904,0,['1904 A.L. History | 1904 N.L. History | Year-by-Year History']
1904,1,['1904 American League Pitcher Review\n← 1903 | 1904 Pitching Statistics League Leaders | 1905 →']
1904,1,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1904,1,"['Complete Games', 'Jack Chesbro', 'New York', '48', 'Top 25']"
1904,1,"['ERA', 'Addie Joss', 'Cleveland', '1.59', 'Top 25']"
1904,1,"['Games', 'Jack Chesbro', 'New York', '55', 'Top 25']"
1904,1,"['Saves', 'Case Patten', 'Washington', '3', 'Top 25']"
1904,1,"['Shutouts', 'Cy Young', 'Boston', '10', 'Top 25']"
1904,1,"['Strikeouts', 'Rube Waddell', 'Philadelphia', '349', 'Top 25']"
1904,1,"['Winning Percentage', 'Jack Chesbro', 'New York', '.774', 'Top 25']"
1904,1,"['Wins', 'Jack Chesbro', 'New York', '41', 'Top 25']"
1904,1,"['Statistic', 'Name(s)', 'Team(s)', '#', 'Top 25']"
1904,1,['1904 A.L. History | 1904 N.L. History | Year-by-Year History']
1904,2,['1904 American League\nTeam Standings']
1904,2,"['Team | Roster', 'W', 'L', 'WP', 'GB']"
1904,2,"['Boston Americans', '95', '59', '.617', '0']"
1904,2,"['New York Highlanders', '92', '59', '.609', '1½']"
1904,2,"['Chicago White Sox', '89', '65', '.578', '6']"
1904,2,"['Cleveland Blues', '86', '65', '.570', '7½']"
1904,2,"['Philadelphia Athletics', '81', '70', '.536', '12½']"
1904,2,"['St. Louis Browns', '65', '87', '.428', '29']"
1904,2,"['Detroit Tigers', '62', '90', '.408', '32']"
1904,2,"['Washington Senators', '38', '113', '.252', '55½']"
1904,2,"['Team | Roster', 'W', 'L', 'WP', 'GB']"
1904,2,['1904 American League Team Standings']
1904,3,['1904 American League Team Review\nHitting Statistics League Leaderboard']
1904,3,"['Statistic', 'Team', '#']"
1904,3,"['Base on Balls', 'Chicago', '373']"
1904,3,"['Batting Average', 'Cleveland', '.260']"
1904,3,"['Doubles', 'Cleveland', '225']"
1904,3,"['Hits', 'New York', '1,354']"
1904,3,"['Home Runs', 'Philadelphia', '31']"
1904,3,"['On Base Percentage', 'Cleveland', '.308']"
1904,3,"['Runs', 'Cleveland', '647']"
1904,3,"['Slugging Average', 'Cleveland', '.354']"
1904,3,"['Stolen Bases', 'Chicago', '216']"
1904,3,"['Triples', 'Boston', '105']"
1904,3,"['Statistic', 'Team', '#']"
1904,4,['1904 American League Team Review\nPitching Statistics League Leaderboard']
1904,4,"['Statistic', 'Team', '#']"
1904,4,"['Complete Games', 'Boston', '148']"
